iter	Passed	Remaining
0	11	5004
1	14	3124
2	25	3747
3	36	3975
4	39	3466
5	41	3032
6	52	3257
7	62	3404
8	73	3566
9	85	3726
10	97	3840
11	107	3883
12	115	3853
13	125	3869
14	136	3899
15	142	3808
16	150	3782
17	161	3840
18	171	3850
19	181	3851
20	193	3900
21	202	3892
22	211	3888
23	222	3910
24	231	3888
25	239	3854
26	248	3839
27	259	3865
28	268	3852
29	279	3869
30	290	3884
31	298	3855
32	311	3887
33	321	3890
34	330	3871
35	338	3844
36	346	3825
37	358	3840
38	369	3845
39	378	3828
40	390	3846
41	399	3831
42	409	3829
43	421	3839
44	429	3818
45	441	3828
46	452	3831
47	461	3815
48	473	3824
49	484	3828
50	493	3814
51	504	3814
52	513	3798
53	524	3795
54	535	3795
55	544	3782
56	556	3790
57	570	3805
58	571	3742
59	583	3746
60	592	3726
61	603	3725
62	611	3707
63	621	3697
64	622	3641
65	633	3638
66	641	3620
67	651	3611
68	660	3598
69	670	3590
70	679	3581
71	688	3567
72	699	3562
73	707	3547
74	718	3544
75	727	3532
76	737	3525
77	748	3519
78	756	3506
79	767	3501
80	776	3488
81	785	3476
82	794	3466
83	803	3453
84	813	3444
85	822	3432
86	837	3447
87	849	3445
88	858	3432
89	868	3426
90	880	3426
91	889	3414
92	901	3412
93	914	3412
94	922	3399
95	933	3394
96	944	3387
97	952	3374
98	963	3368
99	972	3356
100	976	3325
101	986	3316
102	997	3312
103	1006	3300
104	1016	3290
105	1025	3281
106	1035	3269
107	1044	3260
108	1053	3246
109	1063	3239
110	1072	3228
111	1081	3215
112	1092	3210
113	1101	3198
114	1111	3189
115	1122	3183
116	1131	3171
117	1140	3161
118	1149	3148
119	1159	3139
120	1161	3110
121	1171	3102
122	1180	3089
123	1190	3082
124	1199	3070
125	1209	3061
126	1218	3050
127	1227	3039
128	1237	3031
129	1246	3020
130	1256	3012
131	1265	3001
132	1275	2993
133	1285	2982
134	1293	2970
135	1302	2960
136	1311	2948
137	1321	2940
138	1330	2927
139	1339	2918
140	1349	2908
141	1359	2900
142	1369	2892
143	1378	2881
144	1388	2872
145	1397	2861
146	1406	2851
147	1415	2840
148	1425	2830
149	1434	2821
150	1444	2811
151	1453	2802
152	1463	2792
153	1468	2774
154	1478	2766
155	1490	2761
156	1500	2753
157	1510	2744
158	1520	2735
159	1532	2729
160	1541	2719
161	1553	2713
162	1568	2714
163	1577	2703
164	1588	2695
165	1597	2685
166	1606	2674
167	1617	2667
168	1626	2656
169	1637	2648
170	1645	2637
171	1654	2625
172	1664	2616
173	1673	2606
174	1683	2597
175	1693	2588
176	1703	2578
177	1712	2568
178	1721	2558
179	1731	2548
180	1740	2538
181	1749	2528
182	1758	2517
183	1768	2508
184	1778	2499
185	1788	2490
186	1797	2480
187	1806	2469
188	1817	2461
189	1827	2453
190	1840	2447
191	1853	2441
192	1863	2433
193	1873	2423
194	1884	2415
195	1894	2406
196	1903	2396
197	1914	2387
198	1922	2377
